Date,pre_inc,Incubation ID,Inc_temp,ID,NH4,NO3,PO4,TFPA,TRS,TOC,FTOC,TN,FTN,MBC,MBN
11/18/2022,-2,A,2,A-2-1,2.36205,14.4733,0.49971,96.89891,0.19479,376.29486,1026.64261,72.70542,91.19906,650.34775,18.49363
11/18/2022,-2,A,2,A-2-2,2.09613,23.01062,0.3609,82.52996,0.11368,335.61001,1030.81809,77.31273,121.91629,695.20808,44.60356
11/18/2022,-2,A,2,A-2-3,3.4488,7.04742,0.14044,102.01282,0.19131,428.72567,1066.23063,68.50454,176.73521,637.50496,108.23066
11/18/2022,-2,B,4,B-2-1,3.81262,19.8291,0.38412,97.43206,0.19288,369.65546,1006.41385,51.5752,87.58027,636.75838,36.00506
11/18/2022,-2,B,4,B-2-2,2.113,12.30554,0.23411,92.78923,0.19035,485.01817,949.25242,50.76329,133.70329,464.23425,82.94
11/18/2022,-2,B,4,B-2-3,0.98657,25.19751,0.37972,54.40779,0.07942,389.3251,1178.17092,61.36824,108.76115,788.84581,47.39291
11/18/2022,-2,C,6,C-2-1,2.39907,17.97859,0.42864,63.08054,0.14705,420.31405,909.00999,76.29196,140.64505,488.69594,64.3531
11/18/2022,-2,C,6,C-2-2,3.7561,4.55835,0.29338,137.36827,0.20472,353.79675,892.81449,31.42809,74.40473,539.01774,42.97664
11/18/2022,-2,C,6,C-2-3,2.5827,15.76234,0.52116,87.75351,0.17328,303.65469,891.96515,76.17301,102.85137,588.31047,26.67836
11/18/2022,-2,D,8,D-2-1,2.02582,20.49499,0.34848,87.30057,0.03723,491.09004,763.79554,41.45606,89.21523,272.7055,47.75917
11/18/2022,-2,D,8,D-2-2,4.21071,14.2129,0.6945,90.40833,0.07692,406.55432,1009.16587,46.53166,135.57763,602.61155,89.04598
11/18/2022,-2,D,8,D-2-3,3.21998,23.12317,0.31772,75.15154,0.11492,463.67223,1081.0615,51.10457,161.97552,617.38927,110.87094
11/18/2022,-2,E,10,E-2-1,0.13162,27.24242,0.38717,117.07282,0.02676,287.705,1113.08662,69.82423,172.61501,825.38161,102.79078
11/18/2022,-2,E,10,E-2-2,3.03444,16.61924,0.43193,112.02038,0.01297,372.80354,1019.86636,53.90337,108.37235,647.06282,54.46898
11/18/2022,-2,E,10,E-2-3,2.49517,22.19532,0.12047,72.30077,0.01538,418.13805,1109.49527,52.51331,109.09095,691.35722,56.57764
11/13/2022,-2,Pre,Pre,Pre-2-1,3.02162,13.89304,0.44482,45.194,0.11805,343.11599,1100.69231,93.11746,105.53552,757.57632,12.41806
11/13/2022,-2,Pre,Pre,Pre-2-2,2.95915,21.28421,0.24978,99.40159,0.29442,403.64917,1092.57699,51.84617,162.23065,688.92783,110.38449
11/13/2022,-2,Pre,Pre,Pre-2-3,2.49686,14.46883,0.53486,68.6733,0.06283,329.074,1136.71351,46.40213,147.42082,807.63951,101.01869
11/18/2022,-6,A,2,A-6-1,4.08718,17.44702,0.61042,128.39021,0.20474,244.9194,1175.31657,35.82824,151.2804,930.39717,115.45216
11/18/2022,-6,A,2,A-6-2,2.72351,14.72263,0.38846,77.21519,0.21674,416.27274,1080.95401,39.11625,155.4927,664.68127,116.37646
11/18/2022,-6,A,2,A-6-3,3.23348,20.25716,0.23644,104.34632,0.24243,391.72774,1065.7301,48.49698,101.29131,674.00236,52.79432
11/18/2022,-6,B,4,B-6-1,3.19932,30.93072,0.37076,72.6979,0.30822,379.32384,1146.2994,57.22154,168.58836,766.97556,111.36682
11/18/2022,-6,B,4,B-6-2,1.94826,22.36449,0.17475,109.9507,0.25123,342.73584,840.32273,35.74828,97.01216,497.58689,61.26388
11/18/2022,-6,B,4,B-6-3,2.98745,17.4174,0.33647,80.08174,0.146,302.1834,1058.02072,40.31054,106.77256,755.83732,66.46202
11/18/2022,-6,C,6,C-6-1,4.41562,31.325,0.29447,61.76435,0.15069,397.07672,1163.21121,46.30789,165.72744,766.13449,119.41955
11/18/2022,-6,C,6,C-6-2,1.87895,26.87243,0.47454,94.72396,0.14969,312.73128,1007.41938,55.668,124.05404,694.6881,68.38605
11/18/2022,-6,C,6,C-6-3,4.02655,10.64599,0.28945,121.46942,0.11617,335.99381,1069.4578,35.66553,109.85297,733.46399,74.18744
11/18/2022,-6,D,8,D-6-1,3.82651,24.04493,0.3019,55.52174,0.11845,279.05219,1062.71884,53.93943,99.69616,783.66665,45.75672
11/18/2022,-6,D,8,D-6-2,1.76445,17.25973,0.27088,75.25449,0.10405,364.49785,1082.17439,66.94339,103.21931,717.67654,36.27592
11/18/2022,-6,D,8,D-6-3,2.995,23.28273,0.55926,91.81199,0.15594,344.38402,1022.59243,42.61605,173.76454,678.20841,131.14848
11/18/2022,-6,E,10,E-6-1,4.01401,30.4016,0.36772,127.09022,0.09705,337.34758,1198.67525,41.06815,182.59215,861.32767,141.524
11/18/2022,-6,E,10,E-6-2,1.11792,23.9665,0.24673,77.9474,0.04571,393.20752,1126.02318,67.73777,145.30238,732.81565,77.56461
11/18/2022,-6,E,10,E-6-3,2.37592,19.963,0.59023,120.88245,0.03002,398.80613,1257.2367,57.70056,138.48917,858.43057,80.78862
11/13/2022,-6,Pre,Pre,Pre-6-1,3.51752,17.77217,0.48526,41.53334,0.44888,387.92083,1167.22234,50.82661,176.9101,779.30151,126.08349
11/13/2022,-6,Pre,Pre,Pre-6-2,4.97285,14.87813,0.36255,100.50992,0.44702,373.55068,1078.28606,50.90334,155.69473,704.73538,104.79138
11/13/2022,-6,Pre,Pre,Pre-6-3,2.55535,22.31934,0.53713,85.78681,0.49694,347.49449,1131.95014,56.10046,164.82799,784.45565,108.72754
7/15/2022,none,Pre-Pre,none,Pre-Pre 1,1.84447,16.6922,0.33773,75.6272,0.39313,376.459,1095.607,143.2876,201.0753,719.148,57.7877
7/15/2022,none,Pre-Pre,none,Pre-Pre 2,1.59991,14.26642,0.22008,65.31115,0.31708,397.334,1090.768,70.1756,242.0857,693.434,171.9101
7/15/2022,none,Pre-Pre,none,Pre-Pre 3,2.3447,12.82669,0.35757,73.68638,0.35822,444.668,1215.864,101.2935,213.2588,771.196,111.9653
7/15/2022,none,Pre-Pre,none,Pre-Pre 4,2.05911,16.89951,0.28273,59.98995,0.49294,310.019,1135.197,95.8518,199.6095,825.178,103.7577
